winner,tickets,opepen_count,checks_tickets,set40,set20,set10,set5,set4,set1
0xa92914e2d9f766efa370f7d55f20a6e500bc554c,10,1,0,12119,,,,,
0x81500b3897829aa99298741f27d7c17cd4329bc9,10,1,0,9345,,,,,
0xd27d218fe68af21ab8299ea164c9411df557c57e,10,1,0,2129,,,,,
0x319dddc9b8ca2f8717b1b2fa7db540e3290f049e,10,1,0,11150,,,,,
0x9bb6117e59ea3cef629984b4be5ce3cc09f9f3a0,10,1,0,10775,,,,,
0x369c8db326a73d7860f8c58403ae552f3fa95ea6,10,1,0,5103,,,,,
0xf8cafe194ae5228ac698b92430845da140839ec8,11,1,1,5548,,,,,
0x85a6ec9db650c490cf8ab4c4633aba8de4159a76,10,1,0,3265,,,,,
0xde61396aa17b1269e3d85f6c7c4d22694eb9c6ee,10,1,0,2119,,,,,
0xf955b63db6e1316a22f8553ddc55e9cee5ba9d0d,31,3,1,"9226, 976, 3344",,,,,
0xbcf03166d5609df19b0c0c1b1659966cbb0ca5d9,10,1,0,7651,,,,,
0x8a5c9821773a7e14d5af22ed70bfa3a38954fe03,10,1,0,14291,,,,,
0x2a036daff3af2624039b7b99acce5cfe40e14ce2,10,1,0,13698,,,,,
0xd4a978a55e630827f4b826f9e32672631efcf66b,10,1,0,13884,,,,,
0xc579134b984dd3424d7d69f9860589ca10fe4431,11,1,1,239,,,,,
0x9d5ddb6328651b88875889b54edb906c4c7b4ea4,10,1,0,2845,,,,,
0x9ba7dbc966718bd15827b2c7119c059cd5e8a517,12,1,2,7541,,,,,
0xdafbbf0556b049075241d53af222206e3002b45c,10,1,0,5983,,,,,
0xeb6b1c7dac34d0a71923ae31157c8b5c10ceae5e,10,1,0,14483,,,,,
0x1372096d94c4a209b86efc4fbf85ffbd069b53b3,20,2,0,"2587, 12021",,,,,
0xfe365e0f0f49650c71955754e2caba027c0e2198,11,1,1,426,,,,,
0x32e263cb9003f7fef329080bdcbc82f5cfd6c02f,10,1,0,4339,,,,,
0x96a0734b44ecfb3c0821f7e22e7fd8d04429e885,10,1,0,13279,,,,,
0x5c0ac43fa40cdbfe6d86e9041052b2eabb799227,10,1,0,1834,,,,,
0x09bf88347c4bd3b9268c34fff2c570395f7c508e,10,1,0,14451,,,,,
0x1d6f0f4d0ee87559cbfb6eee9d916e75bc5e8747,10,1,0,6211,,,,,
0x6366f0ec78c83db5d304b61c55344dc82a1df8ce,10,1,0,4327,,,,,
0xa257413252a3a1c367ae443a60d9d5ea1921df17,10,1,0,3642,,,,,
0x72bdb8984f595357c4cb351213b14131adecd3e8,10,1,0,3423,,,,,
0x0e50df52b170d525e0a50641bad7f9ab1b659106,10,1,0,7208,,,,,
0xc7d178d2582a0889d3ed5926ca5ac7c9d2a97317,10,1,0,6745,,,,,
0xf6e9ccea1f646fee85e13ab3361c75959a94d5b0,10,1,0,10990,,,,,
0x4ee516f82ad66abe981ae06ec5e7047701630df7,10,1,0,10489,,,,,
0x60d5d179b7d0f5b195f24d253ae640fb5478d1b5,10,1,0,7085,,,,,
0x86f2a46c359c78891e73eefef03e465a21efe8bc,10,1,0,4907,,,,,
0xc2b46c60afe93cda3855f67fcda6d6844723ddb8,11,1,1,13135,,,,,
0x48c910f86993e5b090e8ef9f62daf099147cfd43,10,1,0,6339,,,,,
0x67227455755e26f20d0f571d9e25160ee5a3f123,10,1,0,5511,,,,,
0x953ecae2e8559f600fbec3479ae8d0ae02a8cead,10,1,0,13668,,,,,
0x5ee9e1dfa0c99e39e8b57fcbbf48c45ca992d885,20,2,0,"6107, 1391",,,,,
0x0b223d80646bdc4c52bd7131b8d4fe0e8e372dd1,10,1,0,8573,,,,,
0x29a6521c4b1cb66d8d022e7cd4d7d1ed292234f5,10,1,0,11301,,,,,
0xad074143336068a5b491aecd2f105cd2fed99e5e,10,1,0,2416,,,,,
0xf84408070b4de16d6bb0ab2fd8b19d37e3fd1422,10,1,0,11612,,,,,
0x52eed7be43001237cc41af6c4f30dd5094a18db6,10,1,0,5809,,,,,
0xf5faae77f16ff2c6e640069ba3ab52c405be7e7d,10,1,0,5799,,,,,
0x43a453078cb5fcca5ca76358052fd9e85849917a,10,1,0,1858,,,,,
0x11728cc0aa5b75a2347072226a6d13782e93ec15,10,1,0,3874,,,,,
0xc86024e63275fbdae5e55bee26f6351739572dc2,10,1,0,12691,,,,,
0x1f071ccc5125ab33e3b42707243f8341e2d29a4f,10,1,0,159,,,,,
